Year,July,August,September,October,November,December,January,February,March,April,May,June,Season
1930-1931,0,0,0,0.5,4.7,0.7,0.9,7,0.4,T,T,0,14.2
1929-1930,0,0,0,1.9,2.7,5.3,11,4.8,1.8,0,0,0,27.5
1928-1929,0,0,T,0,T,3.6,18.3,11.7,6.4,9.2,0.2,0,49.4
1927-1928,0,0,T,0,5.3,22.8,3.2,3.2,5.7,16.9,0,0,57.1
1926-1927,0,0,0,0.1,4.9,12.3,5.5,2.1,4.1,1.1,T,0,30.1
1925-1926,0,0,0,3.3,3.6,3.2,7.9,5.5,10.7,2.8,0,0,37
1924-1925,0,0,0,0,3.2,10,5.4,4.2,0.3,0,0.1,0,23.2
1923-1924,0,0,0,T,1.4,2.7,7.7,5.5,12.6,2,0.5,0,32.4
1922-1923,0,0,0,0.4,0.8,1.7,11.8,4.2,11.8,11,0.5,0,42.2
1921-1922,0,0,0,T,16.6,3.2,7,13.6,1.4,1.5,0,0,43.3
1920-1921,0,0,0,T,1.1,9.4,3.4,5.6,1,0.1,T,0,20.6
1919-1920,0,0,0,2.6,11,8,18.5,5,14.3,5.5,0,0,64.9
1918-1919,0,0,0,T,0.5,4.8,4.6,11.5,1.5,2.2,0,0,25.1
1917-1918,0,0,0,2.3,0.9,6.2,5.3,4.9,11.2,T,0,0,30.8
1916-1917,0,0,T,4.3,0.1,13.6,28.8,7.7,29.9,0.5,0,0,84.9
1915-1916,0,0,0,T,5.1,7.6,23.9,7.3,5.6,1.2,T,0,50.7
1914-1915,0,0,0,0,0.4,8.4,16.4,6.4,14.3,0,2,0,47.9
1913-1914,0,0,0,1.1,0.6,T,7.7,6.8,2.9,3.4,T,0,22.5
1912-1913,0,0,0,T,1,17.1,4.5,11.7,11.6,5,0,0,50.9
1911-1912,0,0,0,T,12.1,14.4,8.4,2.7,4.6,0.5,0,0,42.7
1910-1911,0,0,0,0.1,3.8,4.2,10.1,5.9,4.6,8.7,0,0,37.4
1909-1910,0,0,0,T,11,19.2,14.1,6.1,0.9,4.9,0,0,56.2
1908-1909,0,0,0,0,0.3,13.5,12.7,24.2,3.7,8.5,1.8,0,64.7
1907-1908,0,0,T,0,0.3,7.3,8,10.6,14.3,11.7,T,0,52.2
1906-1907,0,0,0,T,3,8.6,12.8,11.6,5.8,13,0.8,0,55.6
1905-1906,0,0,0,5.5,11.5,1.9,17.7,4.5,4,T,0.1,0,45.2
1904-1905,0,0,0,T,0.3,7.4,13.1,9.3,1,T,T,0,31.1
1903-1904,0,0,0,0,2.5,8.3,8.5,13.2,5.8,7.8,0,0,46.1
1902-1903,0,0,0,0,2.4,24,4.2,2.6,4.1,1.5,T,0,38.8
1901-1902,0,0,0,0,3.2,7.2,5.3,4.4,1.5,0.8,T,0,22.4
1900-1901,0,0,0,0,7.8,4.3,5.8,4.5,19.1,T,0,0,41.5
1899-1900,0,0,0,0.1,1,1.9,6.1,9.1,16.7,1.5,0,0,36.4
1898-1899,0,0,0,T,14.1,1.5,8,15.2,23.6,T,0,0,62.4
